Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743393975.3837628,20.189.173.17,192.168.246.25,443,62086,6,74,97,SA,Normal
1743393975.38945,192.168.246.25,20.189.173.17,62086,443,6,54,64,R,Normal
1743393975.665335,192.168.246.25,239.255.255.250,54866,1900,17,167,255,N/A,Normal
1743393977.130602,192.168.246.25,239.255.255.250,60971,1900,17,213,1,N/A,Normal
1743393978.130952,192.168.246.25,239.255.255.250,60971,1900,17,213,1,N/A,Normal
1743393978.3003478,192.168.246.25,54.191.64.170,58195,443,6,101,64,PA,Normal
1743393978.536004,192.168.246.48,255.255.255.255,9999,9999,17,71,64,N/A,Normal
1743393978.6259031,54.191.64.170,192.168.246.25,443,58195,6,97,240,PA,Normal
1743393978.629268,192.168.246.25,54.191.64.170,58195,443,6,66,64,A,Normal
1743393979.133049,192.168.246.25,239.255.255.250,60971,1900,17,213,1,N/A,Normal
1743393979.4665978,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.4706109,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.474661,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.4768882,192.168.246.25,142.250.196.174,65292,443,17,118,64,N/A,Normal
1743393979.482502,192.168.246.25,142.250.196.174,65292,443,17,1288,64,N/A,Normal
1743393979.4880419,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.492289,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.496014,192.168.246.25,142.250.196.174,65292,443,17,670,64,N/A,Normal
1743393979.502149,192.168.246.25,142.250.196.174,65292,443,17,128,64,N/A,Normal
1743393979.57268,142.250.196.174,192.168.246.25,443,65292,17,82,58,N/A,Normal
1743393979.574913,142.250.196.174,192.168.246.25,443,65292,17,82,58,N/A,Normal
1743393979.577923,142.250.196.174,192.168.246.25,443,65292,17,1292,58,N/A,Normal
1743393979.5810509,142.250.196.174,192.168.246.25,443,65292,17,1292,58,N/A,Normal
1743393979.5834398,192.168.246.25,192.168.246.48,58048,8009,6,176,64,PA,Normal
1743393979.589153,192.168.246.48,192.168.246.25,8009,58048,6,176,64,PA,Normal
1743393979.5913112,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743393979.607489,142.250.196.174,192.168.246.25,443,65292,17,1292,58,N/A,Normal
1743393979.61289,192.168.246.25,142.250.196.174,65292,443,17,1292,64,N/A,Normal
1743393979.617326,142.250.196.174,192.168.246.25,443,65292,17,337,58,N/A,Normal
1743393979.621592,142.250.196.174,192.168.246.25,443,65292,17,67,58,N/A,Normal
1743393979.623799,192.168.246.25,142.250.196.174,65292,443,17,120,64,N/A,Normal
1743393979.6278982,142.250.196.174,192.168.246.25,443,65292,17,994,58,N/A,Normal
1743393979.630236,192.168.246.25,142.250.196.174,65292,443,17,73,64,N/A,Normal
1743393979.634757,142.250.196.174,192.168.246.25,443,65292,17,64,58,N/A,Normal
1743393979.637455,192.168.246.25,142.250.196.174,65292,443,17,74,64,N/A,Normal
1743393979.724213,142.250.196.174,192.168.246.25,443,65292,17,162,58,N/A,Normal
1743393979.755442,192.168.246.25,142.250.196.174,65292,443,17,74,64,N/A,Normal
1743393979.924417,192.168.246.25,142.250.196.174,65292,443,17,71,64,N/A,Normal
1743393980.0529768,142.250.196.174,192.168.246.25,443,65292,17,1292,58,N/A,Normal
1743393980.0579798,142.250.196.174,192.168.246.25,443,65292,17,172,58,N/A,Normal
1743393980.0643818,142.250.196.174,192.168.246.25,443,65292,17,186,58,N/A,Normal
1743393980.069452,142.250.196.174,192.168.246.25,443,65292,17,67,58,N/A,Normal
1743393980.0744262,192.168.246.25,142.250.196.174,65292,443,17,77,64,N/A,Normal
1743393980.0798268,192.168.246.25,142.250.196.174,65292,443,17,74,64,N/A,Normal
1743393980.13307,192.168.246.25,239.255.255.250,60971,1900,17,213,1,N/A,Normal
1743393980.180041,192.168.246.210,192.168.246.50,80,19190,6,58,64,SA,Normal
1743393980.188392,142.250.196.174,192.168.246.25,443,65292,17,66,58,N/A,Normal
1743393980.285322,192.168.246.25,142.250.206.78,57433,443,17,1292,64,N/A,Normal
1743393980.288882,192.168.246.25,142.250.206.78,57433,443,17,1292,64,N/A,Normal
1743393980.293924,192.168.246.25,142.250.206.78,57433,443,17,123,64,N/A,Normal
1743393980.385174,192.168.246.50,192.168.246.210,19190,80,6,54,64,R,Normal
1743393980.3887842,142.250.206.78,192.168.246.25,443,57433,17,82,58,N/A,Normal
1743393980.393766,142.250.206.78,192.168.246.25,443,57433,17,1292,58,N/A,Normal
1743393980.398892,142.250.206.78,192.168.246.25,443,57433,17,1292,58,N/A,Normal
1743393980.4029949,192.168.246.25,142.250.206.78,57433,443,17,1292,64,N/A,Normal
1743393980.4115682,192.168.246.25,192.168.246.255,57621,57621,17,86,64,N/A,Normal
1743393980.422812,142.250.206.78,192.168.246.25,443,57433,17,1292,58,N/A,Normal
1743393980.427098,192.168.246.25,142.250.206.78,57433,443,17,82,64,N/A,Normal
1743393980.431385,142.250.206.78,192.168.246.25,443,57433,17,1292,58,N/A,Normal
1743393980.43745,142.250.206.78,192.168.246.25,443,57433,17,1292,58,N/A,Normal
1743393980.441035,142.250.206.78,192.168.246.25,443,57433,17,678,58,N/A,Normal
1743393980.446576,192.168.246.25,142.250.206.78,57433,443,17,82,64,N/A,Normal
1743393980.4530602,192.168.246.25,142.250.206.78,57433,443,17,210,64,N/A,Normal
1743393980.458504,192.168.246.25,142.250.206.78,57433,443,17,1288,64,N/A,Normal
1743393980.463014,192.168.246.25,142.250.206.78,57433,443,17,1292,64,N/A,Normal
1743393980.468609,192.168.246.25,142.250.206.78,57433,443,17,1292,64,N/A,Normal
1743393980.47276,192.168.246.25,142.250.206.78,57433,443,17,244,64,N/A,Normal
1743393980.4762309,192.168.246.25,142.250.206.78,57433,443,17,374,64,N/A,Normal
1743393980.5266292,142.250.206.78,192.168.246.25,443,57433,17,1007,58,N/A,Normal
1743393980.530529,142.250.206.78,192.168.246.25,443,57433,17,163,58,N/A,Normal
1743393980.53563,142.250.206.78,192.168.246.25,443,57433,17,65,58,N/A,Normal
1743393980.54038,192.168.246.25,142.250.206.78,57433,443,17,73,64,N/A,Normal
1743393980.544588,142.250.206.78,192.168.246.25,443,57433,17,65,58,N/A,Normal
1743393980.548909,142.250.206.78,192.168.246.25,443,57433,17,69,58,N/A,Normal
1743393980.553612,192.168.246.210,192.168.246.50,80,3753,6,58,64,SA,Normal
1743393980.5574982,192.168.246.25,142.250.206.78,57433,443,17,74,64,N/A,Normal
1743393980.5890439,192.168.246.50,192.168.246.210,3753,80,6,54,64,R,Normal
1743393980.729003,192.168.246.25,142.250.206.78,57433,443,17,71,64,N/A,Normal
1743393980.7393658,192.168.246.210,192.168.246.50,80,45185,6,58,64,SA,Normal
1743393980.744004,192.168.246.210,192.168.246.50,80,32511,6,58,64,SA,Normal
1743393980.896291,192.168.246.50,192.168.246.210,45185,80,6,54,64,R,Normal
1743393980.9185212,192.168.246.50,192.168.246.210,32511,80,6,54,64,R,Normal
1743393980.9604218,142.250.206.78,192.168.246.25,443,57433,17,66,58,N/A,Normal
1743393980.9892879,142.250.206.78,192.168.246.25,443,57433,17,608,58,N/A,Normal
1743393981.094475,142.250.206.78,192.168.246.25,443,57433,17,63,58,N/A,Normal
1743393981.107511,192.168.246.25,142.250.206.78,57433,443,17,77,64,N/A,Normal
1743393981.1204429,142.250.206.78,192.168.246.25,443,57433,17,66,58,N/A,Normal
1743393981.826993,192.168.246.25,104.199.241.202,58171,4070,6,77,64,PA,Normal
1743393982.007457,104.199.241.202,192.168.246.25,4070,58171,6,77,57,PA,Normal
1743393982.013928,192.168.246.25,104.199.241.202,58171,4070,6,66,64,A,Normal
1743393983.864989,192.168.246.25,35.186.224.24,58649,443,17,1288,64,N/A,Normal
1743393983.86907,192.168.246.25,35.186.224.24,58649,443,17,1292,64,N/A,Normal
1743393983.873518,192.168.246.25,35.186.224.24,58649,443,17,586,64,N/A,Normal
1743393983.8757079,192.168.246.25,189.148.216.132,51413,20619,17,152,64,N/A,Normal
1743393984.029272,35.186.224.24,192.168.246.25,443,58649,17,69,44,N/A,Normal
1743393984.0377758,35.186.224.24,192.168.246.25,443,58649,17,66,44,N/A,Normal
1743393984.0551329,192.168.246.25,35.186.224.24,58649,443,17,74,64,N/A,Normal
1743393984.150859,35.186.224.24,192.168.246.25,443,58649,17,560,44,N/A,Normal
1743393984.1753201,192.168.246.25,35.186.224.24,58649,443,17,78,64,N/A,Normal
1743393984.3122098,35.186.224.24,192.168.246.25,443,58649,17,66,44,N/A,Normal
