Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743353479.483513,192.168.246.25,77.137.73.66,51413,24370,17,62,64,N/A,Normal
1743353479.900332,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353479.933556,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353479.967437,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.001389,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.034668,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.066953,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.1022441,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.136201,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.167861,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.201243,192.168.246.25,80.203.93.114,51413,50000,17,62,64,N/A,Normal
1743353480.2367518,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.267445,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.3014889,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.3347409,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.369452,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.401116,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.433113,192.168.246.25,80.203.93.114,51413,50000,17,62,64,N/A,Normal
1743353480.46812,192.168.246.25,80.203.93.114,51413,50000,17,62,64,N/A,Normal
1743353480.501445,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.534531,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.568662,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.603822,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.633616,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
1743353480.66787,80.203.93.114,192.168.246.25,50000,51413,17,590,49,N/A,Normal
